market,3ATR_risky_reward,date
SEX/USDT,7.282133842908376e+16,2025-02-14
SEX/USDT,3.79655808864007e+16,2025-02-14
SEX/USDT,1403326875379603.5,2025-02-14
SEX/USDT,623263483939662.9,2025-02-14
SEX/USDT,538588491432952.4,2025-02-14
SEX/USDT,426656356316931.0,2025-02-14
SEX/USDT,417182175358137.44,2025-02-14
SEX/USDT,179490373409549.94,2025-02-14
SEX/USDT,134396029246192.53,2025-02-14
SEX/USDT,120043466456193.27,2025-02-14
SEX/USDT,65805170281795.3,2025-02-14
SEX/USDT,20364398568449.44,2025-02-14
SEX/USDT,17294700910919.055,2025-02-14
SEX/USDT,14323177640329.918,2025-02-14
SEX/USDT,12336598376091.057,2025-02-14
SEX/USDT,7769274694714.791,2025-02-14
SEX/USDT,6806360865580.872,2025-02-14
SEX/USDT,4382124003027.9424,2025-02-14
SEX/USDT,2412282640651.2373,2025-02-14
SEX/USDT,208114626612.6506,2025-02-14
SEX/USDT,122593757053.325,2025-02-14
SEX/USDT,120231975865.86423,2025-02-14
SEX/USDT,91074391911.3851,2025-02-14
SEX/USDT,88934137665.60397,2025-02-14
SEX/USDT,88313988413.16301,2025-02-14
SEX/USDT,61692482048.55135,2025-02-14
SEX/USDT,48194820483.2342,2025-02-14
SEX/USDT,37975713477.60213,2025-02-14
YFI/USDT,25458529607.815125,2025-02-14
PS/USDT,23791897571.81093,2025-02-14
SEX/USDT,18419130896.462635,2025-02-14
SEX/USDT,10877916407.15844,2025-02-14
SEX/USDT,9864938660.826405,2025-02-14
SEX/USDT,9379244322.472351,2025-02-14
SEX/USDT,8242959696.096275,2025-02-14
SEX/USDT,7863540959.014562,2025-02-14
SEX/USDT,7527824282.549171,2025-02-14
SEX/USDT,7278524000.264803,2025-02-14
SEX/USDT,6883007355.925554,2025-02-14
SEX/USDT,6640687382.785373,2025-02-14
SEX/USDT,6391587208.038343,2025-02-14
SEX/USDT,6336967555.584712,2025-02-14
SEX/USDT,6150672114.053765,2025-02-14
SEX/USDT,6141883749.348878,2025-02-14
SEX/USDT,5683586113.474874,2025-02-14
SEX/USDT,5668743125.201664,2025-02-14
SEX/USDT,5332657759.584476,2025-02-14
SEX/USDT,5206497413.799223,2025-02-14
SEX/USDT,4638904287.84384,2025-02-14
WBTC/USDC,4411032229.1572075,2025-02-14
